id,block_number,tkn_pair,oracle_price,time
179522,7490079,tBTC/USD,9684091210836,1746654000
179437,7489565,tBTC/USD,9629009912449,1746647527
179426,7489474,tBTC/USD,9564606721725,1746646326
179235,7488684,tBTC/USD,9625935666089,1746636367
179220,7488617,tBTC/USD,9642139611552,1746635522
179028,7488082,tBTC/USD,9714424073493,1746628799
178515,7486014,tBTC/USD,9643266709729,1746602037
178433,7485219,tBTC/USD,9594370729597,1746588596
178338,7485025,tBTC/USD,9652935296045,1746585120
178219,7484621,tBTC/USD,9720678439547,1746577856
178154,7484426,tBTC/USD,9642399593658,1746574321
178076,7484308,tBTC/USD,9570355074559,1746572168
177988,7484151,tBTC/USD,9515601185922,1746569458
177905,7483913,tBTC/USD,9436541745378,1746565204
177745,7483679,tBTC/USD,9486865099658,1746561001
177476,7483094,tBTC/USD,9438986224238,1746550080
177412,7482831,tBTC/USD,9422448366169,1746545638
177324,7482611,tBTC/USD,9368946598988,1746540841
177301,7482585,tBTC/USD,9307416170463,1746540251
177227,7482486,tBTC/USD,9356803958638,1746537720
176961,7481974,tBTC/USD,9370157866492,1746530279
176761,7481004,tBTC/USD,9426903012276,1746517799
176369,7479457,tBTC/USD,9379601939584,1746498365
176198,7478338,tBTC/USD,9453140290448,1746484320
176114,7477783,tBTC/USD,9395163363303,1746477239
176113,7477762,tBTC/USD,9449661524855,1746476998
175889,7476780,tBTC/USD,9402046255261,1746464395
175767,7476403,tBTC/USD,9375031918414,1746459602
175696,7476006,tBTC/USD,9396356606867,1746454554
175694,7475971,tBTC/USD,9446975866314,1746454127
175488,7475046,tBTC/USD,9384641072089,1746442557
175082,7473464,tBTC/USD,9441616348771,1746422635
175042,7473033,tBTC/USD,9384736515901,1746417235
174990,7472705,tBTC/USD,9432418378630,1746413152
174834,7472379,tBTC/USD,9376793301631,1746409127
174524,7471743,tBTC/USD,9464204898695,1746401276
174100,7470046,tBTC/USD,9527696488473,1746380152
174077,7470016,tBTC/USD,9442129749870,1746379792
173711,7469496,tBTC/USD,9527955145363,1746373320
173557,7469022,tBTC/USD,9526648094601,1746367401
173544,7469014,tBTC/USD,9417043108460,1746367290
173221,7467801,tBTC/USD,9550061726634,1746351947
