tkn_pair,oracle_price,time,id,block_number
AAVE/USD,26527038611,1748083331,208607,7623706
AAVE/USD,26360987558,1748082853,208594,7623637
AAVE/USD,26204217184,1748082250,208592,7623543
AAVE/USD,26049881905,1748078529,208565,7622968
AAVE/USD,25873252477,1748076729,208551,7622680
AAVE/USD,26046980890,1748076491,208550,7622645
AAVE/USD,25903362572,1748072650,208515,7622042
AAVE/USD,26081910376,1748071450,208513,7621856
AAVE/USD,25942294692,1748070249,208503,7621666
AAVE/USD,25792430391,1748069650,208496,7621571
AAVE/USD,25625466922,1748068575,208495,7621402
AAVE/USD,25809491028,1748067369,208476,7621211
AAVE/USD,25982537878,1748066773,208470,7621119
AAVE/USD,25846722075,1748065689,208443,7620943
AAVE/USD,25987672776,1748065090,208442,7620851
AAVE/USD,26133629995,1748064729,208437,7620794
AAVE/USD,25955235908,1748063889,208426,7620661
AAVE/USD,26102041289,1748062571,208394,7620453
AAVE/USD,25837605186,1748061610,208392,7620301
AAVE/USD,25694795499,1748060530,208391,7620131
AAVE/USD,25542575997,1748060171,208390,7620074
AAVE/USD,25387854904,1748059570,208385,7619979
AAVE/USD,25515489259,1748057650,208375,7619680
AAVE/USD,25709765944,1748056930,208368,7619570
AAVE/USD,25576068825,1748056450,208367,7619491
AAVE/USD,25403743315,1748052969,208321,7618943
AAVE/USD,25268806745,1748051650,208308,7618735
AAVE/USD,25404905657,1748049851,208303,7618457
AAVE/USD,25212484667,1748048411,208289,7618228
AAVE/USD,25369774860,1748047933,208281,7618154
AAVE/USD,25538534175,1748047571,208278,7618098
AAVE/USD,25702252585,1748046492,208262,7617930
AAVE/USD,25876178216,1748045416,208239,7617764
AAVE/USD,25722833946,1748045295,208228,7617744
AAVE/USD,25593658337,1748044339,208207,7617603
AAVE/USD,25433732670,1748043506,208198,7617475
AAVE/USD,25569986732,1748042772,208193,7617359
AAVE/USD,25717094603,1748042173,208188,7617265
AAVE/USD,25577381625,1748041933,208175,7617230
AAVE/USD,25736031354,1748041811,208165,7617211
AAVE/USD,25872108325,1748040247,208121,7616971
AAVE/USD,26037445511,1748039530,208100,7616860
AAVE/USD,26184887328,1748038698,208083,7616730
AAVE/USD,26045269495,1748038452,208080,7616691
AAVE/USD,25885173636,1748037371,208031,7616522
AAVE/USD,26029543094,1748037010,208025,7616467
AAVE/USD,25875220810,1748034978,208000,7616158
AAVE/USD,25699954209,1748032723,207980,7615811
AAVE/USD,25895937134,1748031011,207934,7615555
AAVE/USD,26037215437,1748030531,207920,7615483
AAVE/USD,26168610526,1748027532,207853,7615017
AAVE/USD,26009913710,1748025851,207840,7614760
AAVE/USD,25845380616,1748024534,207832,7614553
AAVE/USD,26024970691,1748023810,207819,7614439
AAVE/USD,26193759159,1748023447,207812,7614384
AAVE/USD,26052687176,1748022491,207809,7614235
AAVE/USD,25872034130,1748021891,207798,7614139
AAVE/USD,26021101384,1748020571,207772,7613930
AAVE/USD,25879557024,1748019853,207763,7613812
AAVE/USD,25690793561,1748019007,207747,7613679
AAVE/USD,25553064348,1748017807,207742,7613489
AAVE/USD,25391519506,1748017581,207739,7613450
AAVE/USD,25249038760,1748017380,207737,7613417
AAVE/USD,25391111818,1748015891,207679,7613180
AAVE/USD,25531386834,1748015648,207677,7613139
AAVE/USD,25681889544,1748014692,207664,7612989
AAVE/USD,25818783317,1748013853,207663,7612858
AAVE/USD,25680171966,1748012896,207660,7612708
AAVE/USD,25829249590,1748012292,207640,7612612
AAVE/USD,25963547984,1748011212,207624,7612442
AAVE/USD,26105509680,1748010852,207611,7612391
AAVE/USD,26239707543,1748010492,207604,7612336
AAVE/USD,26103264952,1748010012,207598,7612255
AAVE/USD,25943232522,1748009584,207581,7612183
AAVE/USD,26155703279,1748008983,207578,7612088
AAVE/USD,25982997916,1748007985,207542,7611927
AAVE/USD,25884959634,1748007667,207534,7611876
AAVE/USD,25720517778,1748007266,207521,7611813
AAVE/USD,25375652323,1748006896,207510,7611755
AAVE/USD,25513695973,1748006658,207505,7611716
AAVE/USD,25375258562,1748006537,207503,7611698
AAVE/USD,25234550092,1748006054,207501,7611620
AAVE/USD,25103221234,1748005702,207500,7611566
AAVE/USD,24964884629,1748005348,207491,7611503
AAVE/USD,24826145856,1748005222,207490,7611483
AAVE/USD,24690826449,1748004554,207470,7611376
AAVE/USD,24496498383,1748003831,207429,7611260
AAVE/USD,24355275819,1748002888,207362,7611104
AAVE/USD,24022736516,1748002756,207358,7611082
AAVE/USD,24283882872,1748002505,207321,7611043
AAVE/USD,24491547944,1748002025,207303,7610968
AAVE/USD,24359068394,1748001819,207292,7610932
AAVE/USD,24645221046,1748001684,207272,7610910
AAVE/USD,24810769835,1748001318,207254,7610851
AAVE/USD,25079807861,1748001063,207226,7610809
AAVE/USD,25312309004,1748000942,207223,7610789
AAVE/USD,25508690599,1748000820,207216,7610770
AAVE/USD,25742167285,1747999499,207194,7610559
AAVE/USD,25916391255,1747996571,207181,7610100
AAVE/USD,25762452379,1747995253,207171,7609888
AAVE/USD,25952718986,1747994170,207169,7609716
AAVE/USD,25803574700,1747992370,207151,7609430
AAVE/USD,25957478318,1747992012,207147,7609373
AAVE/USD,25809001283,1747990573,207119,7609145
AAVE/USD,25624407130,1747989612,207109,7608990
AAVE/USD,25494252130,1747988290,207086,7608774
AAVE/USD,25629235736,1747984091,207002,7608103
AAVE/USD,25459112486,1747983012,206991,7607932
AAVE/USD,25590000406,1747981096,206948,7607621
AAVE/USD,25724675033,1747980612,206939,7607543
AAVE/USD,25871979718,1747979890,206922,7607427
AAVE/USD,25734550220,1747978092,206880,7607139
AAVE/USD,25910862049,1747976172,206873,7606834
AAVE/USD,25764288603,1747974858,206858,7606628
AAVE/USD,25928890643,1747974492,206834,7606566
AAVE/USD,26067890749,1747973770,206810,7606449
AAVE/USD,26201976225,1747973171,206800,7606356
AAVE/USD,26345178864,1747972334,206795,7606220
AAVE/USD,26198053489,1747971972,206782,7606164
AAVE/USD,26066413288,1747971012,206745,7606012
AAVE/USD,26235829327,1747969692,206714,7605800
AAVE/USD,26100707605,1747969454,206711,7605761
AAVE/USD,25931432104,1747969097,206706,7605702
AAVE/USD,26104613386,1747968735,206700,7605644
AAVE/USD,26301624242,1747967539,206632,7605451
AAVE/USD,26146835149,1747966861,206617,7605346
AAVE/USD,26016604501,1747966593,206603,7605299
AAVE/USD,25882545264,1747966093,206567,7605220
AAVE/USD,25752948612,1747963812,206494,7604850
AAVE/USD,25573346115,1747960211,206434,7604273
AAVE/USD,25711931243,1747959375,206422,7604138
AAVE/USD,25556695406,1747959132,206420,7604099
AAVE/USD,25689552044,1747957571,206398,7603850
AAVE/USD,25542623624,1747956732,206397,7603717
AAVE/USD,25403453891,1747956131,206389,7603620
AAVE/USD,25541279904,1747954210,206360,7603315
AAVE/USD,25694755476,1747951570,206329,7602897
AAVE/USD,25535225987,1747948211,206294,7602357
AAVE/USD,25672614732,1747947609,206292,7602260
AAVE/USD,25531248215,1747945090,206271,7601862
AAVE/USD,25694770598,1747944257,206254,7601728
AAVE/USD,25516421701,1747943294,206221,7601575
AAVE/USD,25683005388,1747940770,206204,7601188
AAVE/USD,25828298540,1747937891,206157,7600721
AAVE/USD,25692095044,1747934412,206101,7600164
AAVE/USD,25557325882,1747931536,206051,7599715
AAVE/USD,25693565729,1747929013,206014,7599313
AAVE/USD,25844889179,1747928175,206000,7599180
AAVE/USD,25675358013,1747926852,205980,7598973
AAVE/USD,25524185807,1747925895,205959,7598818
AAVE/USD,25709258162,1747925536,205948,7598760
AAVE/USD,25559529419,1747922783,205908,7598318
AAVE/USD,25427338437,1747921516,205895,7598119
AAVE/USD,25419679712,1747921380,205894,7598096
AAVE/USD,25271506150,1747921017,205892,7598035
AAVE/USD,25476730706,1747920253,205884,7597914
AAVE/USD,25336284519,1747919771,205882,7597839
AAVE/USD,25500229200,1747916051,205849,7597235
AAVE/USD,25631200624,1747915810,205847,7597197
AAVE/USD,25501245730,1747915328,205841,7597119
AAVE/USD,25636860185,1747915212,205840,7597101
AAVE/USD,25784208815,1747914973,205837,7597063
AAVE/USD,25615501610,1747914611,205835,7597006
AAVE/USD,25402549196,1747913653,205826,7596851
AAVE/USD,25267739997,1747911971,205817,7596593
AAVE/USD,25396017566,1747908252,205734,7596020
AAVE/USD,25559889765,1747907294,205724,7595877
AAVE/USD,25700093167,1747906697,205699,7595788
AAVE/USD,25856050783,1747905857,205672,7595656
AAVE/USD,25716182250,1747905501,205664,7595597
AAVE/USD,25585604112,1747904895,205639,7595503
AAVE/USD,25444716805,1747903330,205623,7595252
AAVE/USD,25594448290,1747901907,205589,7595026
AAVE/USD,25456485512,1747901651,205582,7594984
AAVE/USD,25318650469,1747899730,205558,7594682
AAVE/USD,25176948747,1747899011,205552,7594571
AAVE/USD,25316339646,1747898293,205530,7594458
AAVE/USD,25146610080,1747893733,205465,7593735
AAVE/USD,25277623381,1747893367,205458,7593677
AAVE/USD,25413617719,1747890251,205395,7593174
AAVE/USD,25542788596,1747888811,205353,7592942
AAVE/USD,25412226256,1747887492,205336,7592730
AAVE/USD,25557853193,1747884979,205275,7592326
AAVE/USD,25390835097,1747884615,205272,7592269
AAVE/USD,25262036911,1747880774,205200,7591652
AAVE/USD,25129543681,1747878496,205163,7591287
AAVE/USD,25287606055,1747878018,205160,7591209
AAVE/USD,25452665994,1747877532,205151,7591131
AAVE/USD,25162391107,1747875738,205087,7590846
AAVE/USD,25031739540,1747875248,205064,7590768
AAVE/USD,24896695567,1747873620,205027,7590514
AAVE/USD,24763672139,1747871728,205013,7590212
AAVE/USD,24948688415,1747871244,204996,7590131
AAVE/USD,25129211449,1747870509,204993,7590016
AAVE/USD,25305809261,1747870019,204984,7589938
AAVE/USD,25156750646,1747869752,204965,7589896
AAVE/USD,24989492494,1747868052,204943,7589633
AAVE/USD,24837051302,1747867331,204941,7589515
AAVE/USD,24990840280,1747866854,204926,7589441
AAVE/USD,24865563387,1747866130,204912,7589327
